Time,Iter,Assembly_ID,Obj_name,Density,Mass,Max_stress,Yield_stress,Parent_id
3.1,31,1,ControlTests/Geometry/flap_l.stl,150.0,49423.373797,0,0,1
3.1,31,1,ControlTests/Geometry/flap_r.stl,150.0,41099.767471,0,0,1
3.1,31,1,ControlTests/Geometry/flap_t.stl,150.0,50387.863171,0,0,1
3.1,31,1,ControlTests/Geometry/flap_b.stl,150.0,40294.45009,0,0,1
3.2,32,1,ControlTests/Geometry/cube.stl,150.0,368488.849328,0,0,1
3.2,32,1,ControlTests/Geometry/hinge_l.stl,150.0,1025.197601,0,0,1
3.2,32,1,ControlTests/Geometry/hinge_r.stl,150.0,2474.595927,0,0,1
3.2,32,1,ControlTests/Geometry/hinge_t.stl,150.0,1680.506826,0,0,1
3.2,32,1,ControlTests/Geometry/hinge_b.stl,150.0,2797.734029,0,0,1
3.2,32,1,ControlTests/Geometry/flap_l.stl,150.0,49423.373797,0,0,1
3.2,32,1,ControlTests/Geometry/flap_r.stl,150.0,41099.767471,0,0,1
3.2,32,1,ControlTests/Geometry/flap_t.stl,150.0,50387.863171,0,0,1
3.2,32,1,ControlTests/Geometry/flap_b.stl,150.0,40294.45009,0,0,1
3.3,33,1,ControlTests/Geometry/cube.stl,150.0,368488.849328,0,0,1
3.3,33,1,ControlTests/Geometry/hinge_l.stl,150.0,1025.197601,0,0,1
3.3,33,1,ControlTests/Geometry/hinge_r.stl,150.0,2474.595927,0,0,1
3.3,33,1,ControlTests/Geometry/hinge_t.stl,150.0,1680.506826,0,0,1
3.3,33,1,ControlTests/Geometry/hinge_b.stl,150.0,2797.734029,0,0,1
3.3,33,1,ControlTests/Geometry/flap_l.stl,150.0,49423.373797,0,0,1
3.3,33,1,ControlTests/Geometry/flap_r.stl,150.0,41099.767471,0,0,1
3.3,33,1,ControlTests/Geometry/flap_t.stl,150.0,50387.863171,0,0,1
3.3,33,1,ControlTests/Geometry/flap_b.stl,150.0,40294.45009,0,0,1
3.4,34,1,ControlTests/Geometry/cube.stl,150.0,368488.849328,0,0,1
3.4,34,1,ControlTests/Geometry/hinge_l.stl,150.0,1025.197601,0,0,1
3.4,34,1,ControlTests/Geometry/hinge_r.stl,150.0,2474.595927,0,0,1
3.4,34,1,ControlTests/Geometry/hinge_t.stl,150.0,1680.506826,0,0,1
3.4,34,1,ControlTests/Geometry/hinge_b.stl,150.0,2797.734029,0,0,1
3.4,34,1,ControlTests/Geometry/flap_l.stl,150.0,49423.373797,0,0,1
3.4,34,1,ControlTests/Geometry/flap_r.stl,150.0,41099.767471,0,0,1
3.4,34,1,ControlTests/Geometry/flap_t.stl,150.0,50387.863171,0,0,1
3.4,34,1,ControlTests/Geometry/flap_b.stl,150.0,40294.45009,0,0,1
3.5,35,1,ControlTests/Geometry/cube.stl,150.0,368488.849328,0,0,1
3.5,35,1,ControlTests/Geometry/hinge_l.stl,150.0,1025.197601,0,0,1
3.5,35,1,ControlTests/Geometry/hinge_r.stl,150.0,2474.595927,0,0,1
3.5,35,1,ControlTests/Geometry/hinge_t.stl,150.0,1680.506826,0,0,1
